,Date,Tweet
0,2022-08-30 23:58:57+00:00,"@CNNIndonesia Woi bangke!!  Si PC punya hak  imunitas apa?? Atau jgn2 benar adanya info setoran ke anggota @DPR_RI ?? Kl ibu yg lain meski punya bayi n ada yg jamin tetap ditahan,  apa bedanya sm si PC?? Istimewa amat dia?? Ayo pak @ListyoSigitP berlaku adil!! 
https://t.co/XamSZwPMow"
1,2022-08-30 23:58:31+00:00,"DPR mengebut pembahasan RUU Papua Barat Daya. Sebelumnya, ada  tiga UU DOB Papua yang telah disahkan. Hal itu karena pembentukan daerah otonomi baru di Papua dinilai berpengaruh terhadap  persiapan Pemilu 2024. #Polhuk #AdadiKompas

https://t.co/Y9XCcTZ9PB"
2,2022-08-30 23:58:17+00:00,Tepat. Anggota DPR yang terhormat ini yang harus disasar. Jangan rakyat yang dikorbankan terus.
3,2022-08-30 23:58:03+00:00,Anggota DPR Lasmi Tolak Jadi Saksi untuk Ayahnya Budhi Sarwono https://t.co/UPwzI22qSQ
4,2022-08-30 23:58:02+00:00,"Anggaran pengadaan DPR lagi-lagi bikin geger. Kali ini, DPR menganggarkan biaya untuk kalender 2023 Rp senilai 955 juta. https://t.co/nMkkaVR2o2"
5,2022-08-30 23:57:56+00:00,@msaid_didu Wooii..... DPR.... DPR.... https://t.co/GP2BNWuSN9
6,2022-08-30 23:57:26+00:00,yg paling bener DPR itu ya artikel bru na doper. Stei tun!
7,2022-08-30 23:57:05+00:00,@msaid_didu Hallo @DPR_RI
8,2022-08-30 23:57:01+00:00,"@asumsico Ribut kalender, apa kabar yg ganti gorden di gedung DPR min @asumsico ?"
9,2022-08-30 23:55:58+00:00,"Ada Anggota DPR yang Bela Ferdy Sambo Mati-matian di Balik Layar, IPW: Ini Orang yang Saya Kenal Dekat
https://t.co/2lC0rMmdUO"
10,2022-08-30 23:55:10+00:00,Anggota DPR Pahami Penyidik yang Tolak Pengacara Brigadir J Ikut Rekonstruksi https://t.co/t9eWLFDbQO
11,2022-08-30 23:55:02+00:00,@msaid_didu DPR tidur terus sdh ngak memikirkan rakyatnya yg memilih dia sebagai wakil rakyat jgn pernah melupakan rakyat yg lagi susah.
12,2022-08-30 23:54:47+00:00,@alisyarief Harus audit independen semua bersangkutan dengan pemerintah hasil sama kecualinindependen dpr bukan milik rakyat lagi...bisa jadi memeng negara sudah tidak ada uang
13,2022-08-30 23:54:19+00:00,@CNNIndonesia Hhmm mencurigakan 🤣🤣 DPR ini perwakilan rakyat berduit n berkuasa sepertinya yaaa
14,2022-08-30 23:54:09+00:00,"Mohon maaf @DPR_RI , jika suara kalian ""mewakili "" suara rakyat, coba kalian baca komen masyarakat pada berita ini 👇. Kayaknya masyarakat banyak yang tidak setuju lho."
15,2022-08-30 23:53:29+00:00,"@korantempo Mission impossible sih, krn DPR yng buat UU nya"
16,2022-08-30 23:53:08+00:00,"Gaji/pesangon anggota DPR gak kena dampak UU Cipta Kerja sama sekali, meskipun UU itu mereka sendiri yg kekeuh ngesahkan. Namun, itu bisa dimaklumi, UU Cipta Kerja kan untuk mengatur orang yg bekerja. Anggota DPR kan nggak."
17,2022-08-30 23:53:00+00:00,"Harga bbm sebentar lagi akan dinaikkan dengan alasan terlalu boros subsidi,
Padahal bisa mengurangi pemborosan dengan mengurangi jumlah staf khusus unfaedah dan gaji pensiunan DPR.

#BebanHidupMeroket 
#BebanHidupMeroket"
