,Date,Tweet
0,2022-04-29 23:59:19+00:00,"@democrazymedia 🤣🤣🤣🤣mulai deh ngaku² bekerja untuk rakyat, baiknya harga kebutuhan pokok minyak goreng BBM dan pajak, kamu sebagai ketua DPR wakil rakyat tidak ada protesnya kepada kebijakan pemerintah, diem bae, udah deket pilpres ngaku bekerja untuk rakyat, matamu picek @PuanMaharani"
1,2022-04-29 23:58:14+00:00,@vdandre3 @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Aduhh perutku atit... 😅🤣
2,2022-04-29 23:57:54+00:00,@vdandre3 @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Dan sampahnya adalah penyembah Ilmu yg diberikan penjajahnya.. 🤣🤣🤣 pantes pernah 350 thun lamanya..  follower yg mimpi jadi leader.. udah gitu leadernya penjanjah..🤣🤣 konyol akut..
3,2022-04-29 23:57:24+00:00,@AXLDIGITAL @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Beruntung Jokowi bermental high-achiever.
4,2022-04-29 23:55:48+00:00,@growup55272627 @vontGiv @prastow @her_alone Dasar hukumnya UU bukan peraturan menteri....jadi domainya beda..mungkin DPR bisa merevisi UU nya
5,2022-04-29 23:53:22+00:00,"@AXLDIGITAL @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid D kelompok OKI sj sudah memuncaki ranking. D Asia sdh ranking 5, d dunia ranking 16.

Berkat pondasi kokoh pembangunan infrastruktur yg masif dlm Indonesia sentris, berbagai institusi dunia bahkan skrg bikin proyeksi Indonesia bergerak menuju 8 besar dunia. https://t.co/mPWkl5AwRR"
6,2022-04-29 23:52:08+00:00,"@marlina_idha Anggaran disetujui DPR bukan berarti pemakaian anggaran boleh dikorup dgn pemenang tender kantornya sdh tutup,"
7,2022-04-29 23:51:48+00:00,"Ada yg nafsu jadi capres, padahal modalnya sebatas pintar matikan mic saat pimpin sidang DPR &amp; mem-bangga2kan kakeknya berkata: Jgn pilih capres yg hanya modal tampang ganteng saja tapi tak bisa kerja? Lha, itu lbh baik drpd sudah berwajah jelek, hanya pura2 bisa kerja pula😃😃😃"
8,2022-04-29 23:50:31+00:00,Lingkar Madani: Autokritik Puan untuk Kinerja Legislasi DPR https://t.co/1ZskfcwMT1
9,2022-04-29 23:50:30+00:00,"@fauzilubiss84 @DokterTifa Di parlemen itu maksudnya DPR MPR? Bukannya dungu, tp rakus dan itu jg udah dr jaman baheula era Suharto"
10,2022-04-29 23:48:55+00:00,@vdandre3 @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Dalam sistem Kompetisi emang Indonesia mampu menindas dan memoecundangi bangsa lain??  Kalau gk mampu jangan mimpi akan menjadi terdepan .... wong mental jongos kok mau menindas dan menginjak bangsa lain biar juara..
11,2022-04-29 23:47:39+00:00,"@AXLDIGITAL @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Berakhir menjadi sampah, sampah masyarakat...🤣"
12,2022-04-29 23:46:20+00:00,"@Ericksemaunya @jokowi @mohmahfudmd @DPR_RI @DivHumas_Polri Mereka lg sibuk lebaran
🤭"
13,2022-04-29 23:46:16+00:00,@vdandre3 @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Hahaha tertinggal untuk apa?? Tertinggal karena ikut balapan?? Kenapa gk bikin jalan sendiri biar gk ikutan balapan??
14,2022-04-29 23:45:32+00:00,DPR : Deretan Pinggir Rel 🤣
15,2022-04-29 23:44:11+00:00,"DPR Ingatkan Kemenkes soal Vaksin Kadaluarsa dan Halal
https://t.co/Uh9ywpRcNN"
16,2022-04-29 23:43:12+00:00,"@AXLDIGITAL @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Cipta dan rasa utk jadi manusia gagal, selalu tertinggal d belakang."
17,2022-04-29 23:43:00+00:00,@Akun___Receh @jokowi @mohmahfudmd @DPR_RI @DivHumas_Polri APARAT MANA NIH? APAKAH HRS RAKYAT YG MENGHABISI GEROMBOLAN HTI ? JGN SAMPE RAKYAT GK PERCAYA LG DGN PENEGAK HUKUM.
18,2022-04-29 23:42:59+00:00,"@val_jiung0t6 piwon, bts, bruno, &amp; dpr live!!"
19,2022-04-29 23:42:49+00:00,"@LOVE_AG4EVER @jokowi @budimandjatmiko @AdianNapitupul1 Yakin, mereka hidup nyaman, dari menjadi anggota DPR, jadi ingat mata najwa dan Krisdayanti."
20,2022-04-29 23:40:48+00:00,"@vdandre3 @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Kalau gw ogah pakai sistem dan doktrin ilmunya Kapitalis..yg sudah nyata2 cacat dengan segala indikatornya.. 
.karena gw punya cipta rasa dan karsa.."
21,2022-04-29 23:40:34+00:00,"@marlina_idha Iya gak madalah itu, pake baju anis for presiden juga gak papa lah, kan sekalian dan udah disepakati dpr..."
22,2022-04-29 23:36:50+00:00,"@AXLDIGITAL @justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid Kyknya Turki lbh butuh solusi. Ekonominya kalah dibandingkan Indonesia. Skrg sdh terlempar dr 20 besar dunia. Inflasi jg sangat tinggi, mencapai 54,4% (Indonesia 2,1%).

Ekonomi Indonesia melaju mantap, ranking 5 Asia, ranking 16 dunia. Posisi d kelompok OKI no.1, Turki melorot. https://t.co/O9FOyujLgN"
23,2022-04-29 23:33:59+00:00,"@alextham878 Mintax pd DPR/MPR weiii... 
Bkn jokowi
😜😇"
24,2022-04-29 23:26:32+00:00,"@BatakIsMe_ @SisiwittFrida AHY mah bukan siapa2, tapi bisa perintahkan Fraksi Partai Demokrat DPR RI, Fraksi Partai Demokrat DPRD Propinsi &amp; DPRD Kab/kota se Indonesia."
25,2022-04-29 23:23:53+00:00,"@JokoLipService protokol istana mngharuskn pak Jokowi brdinas di luar istana. Seandainy beliau full power di istana,sdh selesai itu buzerp2 menterinya..
Perhatikn pola2 kebijakan yg sangat banyak tidak melibatkn presiden dan DPR! Bkn tanpa sebab,tapi sengaja agar pak Jokowi tinggal tanda tangan"
26,2022-04-29 23:19:44+00:00,@KemensosRI @DPR_RI Bagaimana yah rasanya mndapatkn bntuan sosial dari pemerintah. Sy sama skali blm pernah merasakan bntuan dri pemerintah mskipun status sy seorang single parents yg hnya memiliki gaji dibawah UMR dan kadang gaji sy tdk lebih dri sejuta. Apa kabar Indonesia ku ☺
27,2022-04-29 23:18:32+00:00,"@Nicho_Silalahi bubar kan DPR dewan perompak rakyat ,pejabat jadi tukang jual aset untk mempekaya diri ,mentri lbh berkuasa dari presiden"
28,2022-04-29 23:10:19+00:00,"@H4L15541D @suprislur @gogrex @susipudjiastuti Makanya mrlamar jadi presidenlah kalau kau merasa pintar,  paling tidak jadi anggota dpr dululah"
29,2022-04-29 23:09:26+00:00,"@KompasTV Emang loe Sbg ketua DPRI ..bisa kerjanya apa ? DPR RI sejak di pimpin loe sdh Mati Suri, Sdh jd DEWAN PENGHIANAT RAKYAT, DEWAN PENIPU RAKYAT, DEWAN PEMBUNUH RAKYAT @DPR_RI @puanmaharani_ri ..."
30,2022-04-29 23:08:12+00:00,"@DaengWahidin2 @Nicho_Silalahi @msaid_didu @m_mirah @OposisiCerdas @CNNIndonesia @RamliRizal @SMuheka @democrazymedia @EmnurBang @Sautaritonang12 @mprgoid @DPR_RI Jgn henti, sbgm mrk juga tak henti merusak negara"
31,2022-04-29 23:01:40+00:00,dpr ian ig story https://t.co/GA0EmfGN9O
32,2022-04-29 22:56:15+00:00,"Berikan Arahan Agenda Struktur, Mahfudz Ajak Jaga Kekompakan untuk Raih Kemenangan https://t.co/TB7DLydNtL lewat @FPKSDPRRI | @mahfudz_DPR | @Mahfudz_AR"
33,2022-04-29 22:54:57+00:00,@PapuaWeb @jokowi @mohmahfudmd @titokarnavian_ @DPR_RI @PolhukamRI @kemendagri Manusia biadap ko siapa yg suru ko bicara utk pemakaran ajing biadap ko kminorg Papua tdk mau namanya Pemakaran itu.
34,2022-04-29 22:54:26+00:00,"@HASapardan Andaikan saja DPR menyetujui UU penyitaan aset harta kekayaan yang berasal dari hasil KORUPSI,maka pejabat pejabat tdk akan berani korupsi"
35,2022-04-29 22:51:03+00:00,Apakah ada yg pernah melihat aktifitas puan spt belakangan ini sjk awal jd ketua dpr?
36,2022-04-29 22:49:21+00:00,Kepedulian Anggota Fraksi DPR RI Partai Demokrat terhadadap tekanan ekonomi rakyat NTT di tengah naiknya harga bahan pokok. #Janganbiarkanrakyatlapar https://t.co/jjMM5F8FOK
37,2022-04-29 22:46:36+00:00,"DPR Ian, Vlad Hoshin, Eli Jang"
38,2022-04-29 22:41:04+00:00,Anggota DPR minta DKI bangun rumah korban kebakaran Pasar Gembrong - ANTARA News https://t.co/RQ6xIN8oZ5 -&gt; Puan
39,2022-04-29 22:41:04+00:00,Anggota DPR minta DKI bangun rumah korban kebakaran Pasar Gembrong - ANTARA News https://t.co/GY7TcDRXMM ~ PM
40,2022-04-29 22:41:04+00:00,Anggota DPR minta DKI bangun rumah korban kebakaran Pasar Gembrong - ANTARA News https://t.co/izQvnqGWze  ~ Puan Ketua DPR
41,2022-04-29 22:41:03+00:00,Autokritik Puan untuk Kinerja Legislasi DPR | Berita Sampit https://t.co/eehPzIfY1B -&gt; Puan
42,2022-04-29 22:41:02+00:00,Autokritik Puan untuk Kinerja Legislasi DPR | Berita Sampit https://t.co/JGYIYSQH5D ~ PM
43,2022-04-29 22:41:02+00:00,Autokritik Puan untuk Kinerja Legislasi DPR | Berita Sampit https://t.co/0h3DY83g04  ~ Puan Ketua DPR
44,2022-04-29 22:40:57+00:00,@justice51617 @DokterTifa @jokowi @DPR_RI @mprgoid @msaid_didu @RamliRizal Tapi apakah masukan² beliau juga digubris..?? Sama sekali tidak bukan?? Artinyamemang NDABLEG.. dan merasa superior..
45,2022-04-29 22:39:55+00:00,"@AXLDIGITAL @DokterTifa @jokowi @DPR_RI @mprgoid Aku lebih respect sama orang² seperti
pak @msaid_didu  
pak @RamliRizal 
mereka selalu mengkritisi kebijakan pemerintahan tetapi tidak lupa menyertakan masukan² pribadi mereka terkait masalah yg dihadapi bangsa ini."
46,2022-04-29 22:39:43+00:00,@hrdbacot Sekelas DPR masa cuma 5jt
47,2022-04-29 22:38:39+00:00,"@detikcom Jika oràng ga ada prestasi spalagi jasa bg negara ini tp gemar menilai dan mendiskreditkan pemimpin yg sendiri tidak memiliki pengetahuan tentangnya, sungguh sangat menyedihkan ente Puan. Ente jd ketua DPR bkn karena ente layak semua otak waras tahu itu. Sadarlah..."
48,2022-04-29 22:38:15+00:00,"Ormas yang mau jadi OP, harus merevisi minimal 3 UU, yakni UU Praktek Kedokteran, UU Tenaga Kesehatan, UU Pendidikan Kedokteran. #CobaDiPeriksa otaknya anggota DPR"
