,Date,Tweet
0,2022-12-30 23:59:40+00:00,"Tebar kepedulian, Anggota Komisi VI DPR RI FPD, Herman Khaeron, salurkan berbagai bantuan di Cirebon.

#DemokratPedulidanBerbagi https://t.co/pa5ZQ65xJE"
1,2022-12-30 23:59:32+00:00,"@AlphaARachman @SyaifulHooda @DPR_RI @dikdasmenpusat @muhammadiyah @unifahr @pijarguru @icharis Sy seorang tenaga pendidik sekaligus Bidang Kurikulum di SMK Swasta. Hemat saya yg sehari2 berhadapan dgn anak2, saya apresiasi tujuan besar KurMer to utk di lakukan skrg sy sependapat, sangat m""ganggu upaya kami m""perbaiki yg rusak dlm learning loss. K13 sudah baik dan relevan."
2,2022-12-30 23:56:02+00:00,"@msaid_didu @DPR_RI Kembali ke awal, UU cipta kerja akan dibahas kembali bersama DPR RI"
3,2022-12-30 23:56:02+00:00,@ZidWorld_ Mana berani DPR menolak
4,2022-12-30 23:53:57+00:00,miito by dpr ian
5,2022-12-30 23:53:52+00:00,@AlphaARachman @SyaifulHooda @DPR_RI @dikdasmenpusat @muhammadiyah @unifahr @pijarguru @icharis Mau kaya gimana kurikulumnya tetep paling memberatkan bagi guru adalah administrasinya yg seabrek numpuk.
6,2022-12-30 23:52:38+00:00,"@AndiHamz1174 @CNNIndonesia Ya itu jg, tp klo ini konteksnya kan masalah kerjaan.. klo dpr kerjanya nggak becus ya jangan dipilih lagi, klo ASN nggak bisa kerja? Dipertahankan trus?"
7,2022-12-30 23:51:46+00:00,@nabiylarisfa Yg dimaksud pengusaha disini itu menteri &amp; jajaran DPR. Bukan Kadin atau Apindo 😄
8,2022-12-30 23:48:14+00:00,Ketua ranting rumahnya seperti itu? Coba lihat rumah anggota DPR dari partainya.......
9,2022-12-30 23:46:14+00:00,@RealityOfClub pastii.. DPR kan? 🥰
10,2022-12-30 23:45:56+00:00,"@HariadiYulianto 90% RUU yg diusulkan di DPR berasal dari Presiden cq. Pemerintah. 😁 
Sesuai konstitusi presiden juga punya hak/kewenangan utk menerbitkan Perpu, apalagi utk UU yg tdk memihak ke rakyat. 😌"
11,2022-12-30 23:44:20+00:00,"@BennyHarmanID Banyak hal2 yg sangat kritis, mengapa DPR banyak mingkem nya tdk pro rakyat ??"
12,2022-12-30 23:42:51+00:00,"@Latawepatikm27 Jangan ..., Pakde @jokowi ... Ntar jadi pada mangkrak kyk Hambalang.

cc @SBYudhoyono @AgusYudhoyono @FPD_DPR @Andiarief__ @panca66"
13,2022-12-30 23:40:44+00:00,@tanyarlfes ketua dpr
14,2022-12-30 23:37:11+00:00,"@DPR_stream @mzidaneariel @Askrlfess wah bener, ternyata kita yang goblok"
15,2022-12-30 23:37:03+00:00,Deretan Peristiwa Seputar DPR yang Disorot Publik Sepanjang 2022 https://t.co/O017vB7nG7
16,2022-12-30 23:36:35+00:00,"@NurmansyahAff Lah rakyat yang diwakili DPR sudah setuju dan ketok palu, kamu rakyat mana ? rakyat hambalang ? atau rakyat yg bodo amat ?"
17,2022-12-30 23:35:51+00:00,@BorneoNkri DPR Indon adalah penguat dan Pembebek Pemerintah. Apapun rancangan UU bisa diterima dwngan catatan.. meskipun catatannya sering ketinggalan capaian tujuan…
18,2022-12-30 23:35:00+00:00,DPR CALICOOO&gt;&gt;&gt;&gt;&gt;&gt;
19,2022-12-30 23:34:35+00:00,@QianzyZ @aniesbaswedan setuju.. @FH cari muka pengen duduk lagi di @DPR
20,2022-12-30 23:33:29+00:00,Dpr jaa yang mai malaysia
21,2022-12-30 23:26:22+00:00,"@NarasiNewsroom Ya udah sih suka-suka yang punya negara dan partai mereka aja di DPR

Hal ihwal kegentingan yang memaksa menurut subjektivitas mereka soalnya, kalau menurut mereka memaksa ya harus segera jadi

Makanya susah https://t.co/qUHQ4C1f68"
22,2022-12-30 23:23:15+00:00,"@detikcom Perpu yang diterbikan Presiden bersifat sementara, 

harus segera dibahas di DPR untuk disetujui menjadi UU dalam masa persidangan berikutnya, 

DPR bisa mencabut atau membatalkan Perpu yang diterbitkan Presiden.

Bola panas Cipta Kerja kembali ditangan DPR!

☝️😌"
23,2022-12-30 23:20:11+00:00,@YLBHI Mungkin wakil rakyat @DPR_RI @KomisiIX sudah punya salinannya
24,2022-12-30 23:19:25+00:00,"@AlphaARachman @SyaifulHooda @DPR_RI @dikdasmenpusat @muhammadiyah @unifahr @pijarguru @icharis Inggih  Mas, kurikulum ini utopia banget. hanya cocok untuk negara kaya dan penduduk sedikit. Mana mungkin semua anak dilepas dengan minat sendiri-sendiri yang sebetulnya banyak  hanya minat semu sesaat akibat situasi 'era medsos'."
25,2022-12-30 23:18:08+00:00,"NCT 127 , DPR IAN , SAMA SEMUA AKTOR KINPORCHE THE SERIES 😂😂"
26,2022-12-30 23:16:17+00:00,"@motodobel @AlphaARachman @SyaifulHooda @DPR_RI @dikdasmenpusat @muhammadiyah @unifahr @pijarguru @icharis Pembiasaan itu perlu waktu pak, dan untuk saat ini di lapangan memang banyak kendala dalam penerapannya, baik dari infrastruktur dll. Bukannya ga mau berubah, tapi proses itu perlu waktu."
27,2022-12-30 23:15:55+00:00,"@Syarman59 @BerlandGroup @harakatuna @WagimanDeep212_ @nahdlatululama @Ayang_Utriza @Generasi_MudaNU @HabibluthfiYahy @YahyaCStaquf @Official_Ansor @muannas_alaidid @abirekso @noeruzzaman @na_dirs @ProfylHenuk @ruhutsitompul @ChusnulCh__ @GagakNew @AlissaWahid @pgmoraaji @DPR_RI mana berani DPR buat UU untuk koruptor seperti itu , TST aja 🤭padahal sangsi sosial aja sdh keras, msh aja punya nyali mengkorup,krn Indonesia msh banyak yg berlomba-lomba dalam ""menumpuk HARTA"", ""Ajining diri soko mercy ajineng rogo soko bondo"""
28,2022-12-30 23:11:33+00:00,"Pemerintah dan DPR telah mengabulkan PMN PT PANN sebesar Rp 3,8 triliun dan tercatat pada Nota Keuangan APBN 2020. Namun, Kementerian Keuangan menegaskan bahwa PMN tersebut dibatalkan atau hangus mengingat status perusahaan yang sudah dibubarkan."
29,2022-12-30 23:10:54+00:00,Lah DPR kan kacung penguasa.mana mungkin berani nolak
30,2022-12-30 23:09:55+00:00,@AlphaARachman @SyaifulHooda @DPR_RI @dikdasmenpusat @muhammadiyah @unifahr @pijarguru @icharis Kurikulum kok gonta ganti .... 😁
31,2022-12-30 23:09:50+00:00,"Tergantung yg nyebat, kalo yg nyebat modelan dpr ian ya cakepnya makin kebangetan 😩"
32,2022-12-30 23:09:32+00:00,"Dean, DPR Ian, Jaewon"
33,2022-12-30 23:08:45+00:00,"@msaid_didu @DPR_RI Aduh om, gocekan lau deket kotak penalti niiiih... 😝😝"
34,2022-12-30 23:07:20+00:00,@Muhammad_Saewad Menunggu jumlah kursi anggota dpr
35,2022-12-30 23:06:35+00:00,Day 19 menunggu DPR x NCT collab https://t.co/mBdsU22jdf
36,2022-12-30 23:05:46+00:00,@moonareas DPR IAN 😭
37,2022-12-30 23:04:24+00:00,"😱😱 and @DPR_RI nya setuju gitu aja? 😲😳😱

@msaid_didu @Fahrihamzah @RamliRizal"
38,2022-12-30 23:02:58+00:00,"@rinmarse Dpr.......?
Masih ada kah.....?"
39,2022-12-30 23:01:33+00:00,@Opini_Vaath @NarasiNewsroom @DPR_RI Karena sebenarnya merekalh yg menginginkan  nya krna cuan
40,2022-12-30 23:01:23+00:00,"@madisnur DPR yang harusnya evaluasi pemerintah mingkem, percuma pilih anggota legislatif ga da guna. Kerjanya jadi tim hore pemerintah."
41,2022-12-30 23:00:13+00:00,"@note_iqbal @yunartowijaya Manusia itu keahliannya macam2. Ada yang ahli bicara, ada yang ahli kerja, ada yang ahli menghina dan lainnya.
Yang jadi pemimpin itu yang ahli kerja, yang ahli bicara jadi guru atau di dpr, yang ahli menghina ya tinggal nunggu siapa yang menghire utk menghina .."
42,2022-12-30 22:58:03+00:00,jadi alasan kuat utk dimakzulkan doong... @DPR_RI
43,2022-12-30 22:55:59+00:00,"@OposisiCerdas Saya heran, utang itu pake persetujuan DPR apa tidak, kalo pake persetujuan DPR, DPR itu cuma wakil, sudah disetujui tidak sama yang mewakilkan. Dibayar pake apa, yang bayar siapa. Mbangun Kuwi sak mampune. Bangun jiwanya dulu Ben waras, baru fisiknya sehat. Goblok"
44,2022-12-30 22:53:28+00:00,@ILHAM2504 @DPR_RI @CNN @WartaEkonomi coblos apemnya si nganu
45,2022-12-30 22:50:33+00:00,"@msaid_didu @mohmahfudmd Dengan penguasaan DPR 82%, juga DPD, yg artinya juga MPR, teoritis Jokowi bisa berbuat apa saja. Di MK ipar lagi. Kalangan intelektual, termasuk seperti forum rektor, ingatkan kalau sdh kelewatan"
46,2022-12-30 22:49:22+00:00,"@NarasiNewsroom Keputusan MK kalah ma perpu..
Dan DPR diam...
Dah bubarkan aja legislatif dan yudikatif.
Biar eksekutif bisa seenaknya sendiri."
47,2022-12-30 22:47:13+00:00,"@motodobel @AlphaARachman @SyaifulHooda @DPR_RI @dikdasmenpusat @muhammadiyah @unifahr @pijarguru @icharis Bapak kurang piknik ke pinggiran kota dan juga kampung2. Berubah, pastilah semua juga bakal dan harus berubah sesuai dengan waktu dan tempatnya. Kalo anggaran setingkat negaranya saja ngos ngosan, ya jangan pula sok sokan. Inovasi harus kita sambut dengan kewijaksanaan"
48,2022-12-30 22:45:16+00:00,@msaid_didu @DPR_RI Boleh jadi.
