,Date,Tweet
0,2022-01-30 23:59:00+00:00,"Coba keberatannya itu disalurkan ke fraksinya saat pembahasan perjanjian itu di DPR.

Secara paralel, ada persetujuan ekstradisi yang sudah puluhan tahun diupayakan baru tercapai sekarang, lho."
1,2022-01-30 23:57:16+00:00,"Sch!
Temen2 yang shift siang biasanya dari jam berapa sampai jamber

✄・・・
🧐 Trivia: Lembaga legislatif adalah DPR, DPD, dan MPR"
2,2022-01-30 23:56:22+00:00,"@meriicyy Khhrnb aja, punya dpr ian, byk eng-nya"
3,2022-01-30 23:53:10+00:00,"Jangan biasakan mengeluh/khawatir di depan publik. Coba bicarakan dulu dengan pimpinan, senior, rekan menteri dan komisi DPR terkait.

Menteri yg sering khawatir/prihatin secara terbuka kok rasanya terkesan “nganu”, ya ? 😌😌

Kalo sdh “nggak kuat”, perlu “dinaikkan becak”, kah?"
4,2022-01-30 23:49:08+00:00,"@RAMujiyono @PDemokrat @AgusYudhoyono #TolakIbukotaBaru 
#TolakIbukotaBaru 

DPR dr PD melukai pra pemilihnya"
5,2022-01-30 23:48:59+00:00,Jangan Pilih Ketua DPR Tersangkut Korupsi. Berikut ini Setya Novanto Korupsi Baca selengkapnya. https://t.co/sZ20eGH9m5
6,2022-01-30 23:44:56+00:00,@YoutubeILC @karniilyas Gmna mau mau negri ini klau DPR nya seperti itu ya
7,2022-01-30 23:43:20+00:00,"@Boruhutapea18 @DPR_RI Meski Islam digoyang apapun , kami tetap sabar dan tetap Islam sampai mati."
8,2022-01-30 23:42:25+00:00,4. Mantan Anggota Komisi VIII Jazuli Juwaini (pindah ke Komisi II di pertengahan 2013) (kini Ketua Fraksi PKS di DPR)
9,2022-01-30 23:41:51+00:00,"Temui Kades Se-Halmahera Selatan, Pimpinan DPR: Tulis dan Ekspos Keberhasilan Bangun Desa
https://t.co/YV7FpVlZi5"
10,2022-01-30 23:41:12+00:00,"[cm] menurut kalian magang di kementerian atau dpr bakal worth it ga ya buat pengalaman, ilmu, sama impact ke cv? Atau mending di corporate aja?"
11,2022-01-30 23:40:31+00:00,"@RajaSuspend_ Yg pada nunggak pajak sekalian aja ntar bayarnya setelah pilpres 2024. Klo yg berkuasa masih tetap partai tikus moncong putih, lanjutin lima tahun lagi 😺 
#KembalikanSubsidiRakyat 
#DPR_KhianatiSuaraRakyat"
12,2022-01-30 23:38:20+00:00,@yogaGARISKERAS @damian_dustin @mahdikherid Lha anak babi ngamuk... Diskusi dikusi aja.... Elo merasi plaing toleran?? Ketika ada yg mau robha pancasila jadi ekasila dan masuk ke dpr itu udah jelas makar.. Gw juga gak setuju sie demgan khilafah versi mereka.... Tapi bahasan gw bukna itu tolol....
13,2022-01-30 23:37:46+00:00,@Ravispa_STB @NajwaShihab @MataNajwa Pupuk ini jadi permasalahan akut bagi petani. Harusnya jadi perhatian serius bagi @DPR_RI untuk menyuarakan suara-suara rakyatnya.
14,2022-01-30 23:34:49+00:00,"Potensi Singapura Bobol RI, DPR Belum Baca Perjanjian Ruang Udara? https://t.co/mLs1PNyyd3
#BeritaIslam
https://t.co/royHYIUUvc"
15,2022-01-30 23:29:43+00:00,"@B_dzoel #DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat 
Inilah zaman ruwaibidhoh !!!"
16,2022-01-30 23:28:43+00:00,"@AttaKalya @ertapriadi @PBIDI 
@kemenpendidikan 
@nadiemmakarim 
@DPR_RI

Ini yg perlu diajak bicara"
17,2022-01-30 23:28:15+00:00,@Hayuningrat7 @PKSejahtera kalau pks partai yg berbobot ini sudah berapa kali pemilu mungkin pks menang pemilu tapi karena partai ini kurang disukai banyak rakyat yah begitu2 saja suaranya cuma vokal suaranya di dpr tampa dukungan partai lain
18,2022-01-30 23:18:34+00:00,"@NeiskaH Anggota DPR dari PDIP yg berasal JABR kn yakni , 
1. Diah phitaloka anak PKI
2. Ripka Ciptaning anak PKI juga dari dapil Jabar Sukabumi
2. Adrian Napitupulu juga dari dapil jj"
19,2022-01-30 23:18:05+00:00,@hiburanreceh Eudora pasang jebakan di gedung dpr
20,2022-01-30 23:14:39+00:00,"@enjang_d1 @FPKSDPRRI @DPR_RI @PKSejahtera #DPR_KhianatiSuaraRakyat 
Masih...?"
21,2022-01-30 23:13:54+00:00,@seopoems skz bts dpr ian
22,2022-01-30 23:13:51+00:00,@tukangrosok___ to be concern @BNPTRI @_TNIAL_ @_TNIAU @senkompusat bapak Kapolri  @ListyoSigitP @DPR_RI
23,2022-01-30 23:12:02+00:00,"@B_dzoel Nahh iyaa...
Jangan biarkan 
#DPR_KhianatiSuaraRakyat"
24,2022-01-30 23:01:41+00:00,"Mereka itu kawanmu, bukan anggota parlemen negara Paraguay. Oh iya mungkin anggota DPR negara Meksiko doyan tidur pas rapat, karena emang penyampaian dalam rapatnya G AZK"
25,2022-01-30 23:00:46+00:00,SYAMSUL BAKHRI TANRI Caleg Partai Golkar DPR RI Dapil KALTIM No. Urut 6 dinosbtlatanro #infocaleg
26,2022-01-30 22:59:27+00:00,@saidi_sudarsono DPR dikuasai oleh pendukung rezim. Jadi apapun UU atau perpu jelas hanya  dipilih yg menguntungkan kaum mereka bukan rakyat.
27,2022-01-30 22:55:37+00:00,Rapat Kerja POLRI dan KOMISI III DPR RI https://t.co/nNScSvmhKQ
28,2022-01-30 22:50:27+00:00,"@Adie_Fanar82 @Hayuningrat7 @PKSejahtera IKN pindah bukan hayalan,  tapi undang2nya sudah disetujui DPR sebagai wakil rakyat"
29,2022-01-30 22:47:42+00:00,"@BennyHarmanID Kurasa, semoga saja tidak benar, tapi yg seringkali terjadi, DPR tidak lagi jadi corong tapi rata2 pengelola proyek. Kira2 pendapat @BennyHarmanID gimana?"
30,2022-01-30 22:46:58+00:00,@saidi_sudarsono DPR itu baik terutama pas lagi cari dukungan
31,2022-01-30 22:36:37+00:00,"KPPA Terancam Bubar, Ketua DPR #Aceh Bicara Pentingnya Lembaga Pengawasan - detikNews https://t.co/3vj9aNSB5w https://t.co/sGcXgpRlpI"
32,2022-01-30 22:35:08+00:00,@B_dzoel Org DPR nya dipegang jg kunciannya makanya gak berani bersuara lantang.. nama wakil rakyat gimmick doank.. entah manfaatnya bwt rakyat lembaga ini..
33,2022-01-30 22:32:12+00:00,"@habiburokhman Hebat neh Dewan Gerindra yg ini, hampir setiap harie memberikan bantuan ke warga didapilnya..dia ga lupa akan warganya yg telah berjuang utk memilihnya menjadi wakil rakyat merekandi DPR"
34,2022-01-30 22:28:57+00:00,@aik_arif Fungsi kontrol parlemen (DPR) gimana nih? 🤷‍♂️
35,2022-01-30 22:24:30+00:00,@KRMTRoySuryo2 DPR nya saja diem !!!!!! Kesumpet bego kaleee
36,2022-01-30 21:52:48+00:00,"Anggota Komisi I DPR RI TB Hasanuddin mendukung perubahan nama pasukan elite TNI AU, dari Korps Pasukan Khas (Paskhas)  menjadi Korps Pasukan Gerak Cepat (Kopasgat). https://t.co/pkZKVEgztA"
37,2022-01-30 21:19:56+00:00,"@Nicho_Silalahi People power?
Trs gantinya Pak Anang Ma'ruf eh Pak Ma'ruf Amin? Atau trio mendagri-menlu-menhankam? 
Trs penguasa DPR/MPR msh sama kan?"
38,2022-01-30 21:18:56+00:00,Jangan Pilih Ketua DPR Tersangkut Korupsi. Berikut ini Setya Novanto Korupsi Baca selengkapnya. https://t.co/sZ20eGq6k5
39,2022-01-30 21:09:31+00:00,"@NayoanAngelyca Masyaa Allah

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
40,2022-01-30 21:02:35+00:00,@beidoustiddies dpr ian
41,2022-01-30 20:58:11+00:00,"@masreyhaan @detikcom @DPR_RI @jokowi Semoga bisa dibatalkan. Mengingat pemerenta kita agak labil. Sebentar bikin peraturan, sebentar lagi dibatalkan (kalo didesak X pihak) 😂😂😂"
42,2022-01-30 20:56:59+00:00,dpr ian outsold
43,2022-01-30 20:56:53+00:00,@kodok_007's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
44,2022-01-30 20:55:57+00:00,"@Siajapul Oke beh... Pamit dulu. Sampai nanti..Assalamua'laikum...🙏

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
45,2022-01-30 20:49:03+00:00,"@Siajapul Iya sih beh... Bengong sendiri malah bikin stress...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
46,2022-01-30 20:46:25+00:00,@kodok_007's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
47,2022-01-30 20:46:04+00:00,"@Siajapul Wuuuiih... Asyiiik donk 

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
48,2022-01-30 20:44:26+00:00,"@Siajapul Alhamdulillah... Ntar siang masih ada loh beh yg menunggu..😂😂
Skrg babeh capeknya dah full bikin 3 lagu..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
49,2022-01-30 20:41:59+00:00,"@Siajapul Sangat beh... Sangat menikmati..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
50,2022-01-30 20:41:39+00:00,@ngaco_aje_lagi @mohmahfudmd @DPR_RI @KPK_RI @DivHumas_Polri @MahkamahAgung Lom mandi eeehh lom bobo loe lip?
51,2022-01-30 20:41:36+00:00,"@warrior_ladys @Siajapul Alhamdulillah... Salam buat baby nya..😍😍

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
52,2022-01-30 20:39:29+00:00,@AleksibCSGO                                              @BLASTPremier spring groups                  Statistics                                                     Rating 2.0  //  1.17   Impact 1.16  //   Dpr  0.55  //  kast  75.8%  // adr  75.8  //  kpr  0.65
53,2022-01-30 20:38:18+00:00,"@warrior_ladys @Siajapul Selamat menikmati santapan sahurnya mbk say...😍😍

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
54,2022-01-30 20:33:08+00:00,"@Nurdiansyah_i8 @Siajapul Wkwkwk.... Ghibahnya pilih2 orang pulak..😂😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
55,2022-01-30 20:31:18+00:00,"@Elviny_98 @Siajapul Tapi tidak untuk Mang Pais Menyan, wajib di ghibah'in hahaha
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
56,2022-01-30 20:27:30+00:00,"@Nurdiansyah_i8 @Siajapul Ghibah woooiii... 😂😂😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
57,2022-01-30 20:26:34+00:00,"@Siajapul @Elviny_98 Kalah bang Dzoel berarti, apalagi kang maul yg akunnya bikin ribet atau mang pais menyan si tukang perang gambar..hadehhh
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
58,2022-01-30 20:25:10+00:00,"@Nurdiansyah_i8 @Siajapul Pasti bang @Nurdiansyah_i8  baru bangun. Nyawanya blm ngumpul semua. Makanya baru ngeh..😂😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
59,2022-01-30 20:24:14+00:00,"@Elviny_98 @Siajapul Asikk....
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
60,2022-01-30 20:23:34+00:00,"@Siajapul Beh... Terakhir nih beh..😂
Bidadari sarugo bikin kyak td..
Macam belanda minta tanah pulak jadinya..😂😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
61,2022-01-30 20:22:35+00:00,"@Siajapul @Elviny_98 Baru ngeh aku si babeh, jago edit video, ada logo KS lagi, top beh
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
62,2022-01-30 20:22:10+00:00,"@Siajapul @Nurdiansyah_i8 Nah tuh bang @Nurdiansyah_i8 udh dijawab babeh.  Babeh sayang semuanya...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
63,2022-01-30 20:19:36+00:00,"@Nurdiansyah_i8 @Siajapul Bentar... Coba tanya babeh dulu...
Babeeeh... Beh, sayang tak sm bang @Nurdiansyah_i8 ...?? 

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
64,2022-01-30 20:18:23+00:00,"@Elviny_98 @Siajapul ....masa sih ?
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
65,2022-01-30 20:18:13+00:00,@BujangDanoor @Nicho_Silalahi Kok gak ada tembusan nya ke DPR &amp; DPD  dan Presiden ya ???? Apa ini kerjaan tak boleh diketahui oleh DPR /DPD dan presiden ????
66,2022-01-30 20:17:02+00:00,Relawan Gaspoll (Gus Muhaimin Asik Poll) menggelar deklarasi dan dukungan kepada Wakil Ketua DPR RI Muhaimin Iskandar untuk maju sebagai capres pada Pilpres 2024. #MuhaiminIskandar https://t.co/OnxciACaUZ
67,2022-01-30 20:07:57+00:00,"@Nurdiansyah_i8 @Siajapul Tanda sayang itu bang sibabeh ke abang...😂. Kata orang tua2, marah tanda sayang...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
68,2022-01-30 20:06:33+00:00,"@f_fathur @DjudjuP @KetumProDEMnew @musniumar @MprAldo Berarti pemindahan ibukota benar bakal terjadi...?? 

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
69,2022-01-30 20:06:05+00:00,"@Siajapul @Elviny_98 Hahaha....tuh kan si babeh pasti ngomelin aku hahaha...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
70,2022-01-30 20:05:26+00:00,"BBM naik sama dengan rakyatnya jadi pada miskin, kita disuruh ngirit2 DPR minta naik gaji"
71,2022-01-30 20:05:04+00:00,"@Nurdiansyah_i8 @Siajapul Jangan bingung bang.. nanti malah tak jadi makannya..😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
72,2022-01-30 20:03:32+00:00,"@Siajapul Oke beh... Ditunggu

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
73,2022-01-30 20:03:20+00:00,"@Elviny_98 @Siajapul Ohh...Saya kalau mau makan di warung Padang pasti dibilang ngirit, bingung saya...
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
74,2022-01-30 20:03:02+00:00,"@Siajapul @Nurdiansyah_i8 Babeh jualan Rendang sama Pongek situjuah...😂😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
75,2022-01-30 20:00:57+00:00,"@Nurdiansyah_i8 @Siajapul Baru mau mulai bang...😂😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
76,2022-01-30 20:00:30+00:00,@groovygroovyBOO dpr ian asigi biriyim ben of
77,2022-01-30 20:00:13+00:00,"@Siajapul Judulnya Garah Kucindan Mato. Bikinnya kayak yg tadi ya beh...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
78,2022-01-30 20:00:09+00:00,"@Elviny_98 @Siajapul Si babeh @Siajapul  jualan rendang Padang online apa 🙄🤭
#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
79,2022-01-30 19:55:29+00:00,"@Siajapul Beh... Satu lagi boleh beh..?? 😊

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
80,2022-01-30 19:28:59+00:00,"@Nicho_Silalahi @HudSuharg Yg buat bingung.Tukang ojek nabrak orang (gk ada niat )dihukum krn ini asas hkm pidana. lalai/ culfa 😂
1. Muncul 50 jt korup gk usah dihukum
2. usul Arteria :Kpk gk blh tangkap tangan aparatur pejabat polri n jaksa(Nti akhirnya mrk juga dpr ri ?)
3. Kades jg ckp kmbalikn uang"
81,2022-01-30 19:24:53+00:00,@Radenlangitan @PakkatDayak Bukan itu..kalau mau tau tu yg waktu di DPR.itu aslinya orangnya putih
82,2022-01-30 19:16:41+00:00,"@Siajapul Oke pak bozz, ditunggu...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
83,2022-01-30 19:12:33+00:00,"@Siajapul Request boleh tak beh...?? Tp lagu daerah sumatera barat..?? 

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
84,2022-01-30 19:11:25+00:00,"@Siajapul Hhhmmm juga deh beh, biar tak sedih 😂😂

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
85,2022-01-30 19:08:40+00:00,@abilreal_ Cilok edi dpr? Sampe subuhh tenannn?
86,2022-01-30 19:08:16+00:00,"@Siajapul Iya beh...semakin hari hidup semakin tertindas..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat https://t.co/nt9QfwLWjx"
87,2022-01-30 19:06:38+00:00,@svaniea dpr maszehh
88,2022-01-30 19:03:34+00:00,"@Siajapul Ya bisalah beh... Merekakan punya kuasa. Bisa berbuat apa saja tanpa pedulikan nasib rakyat. Bisnis sdh didepan mata..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
89,2022-01-30 19:03:08+00:00,"@Do4_kebaik4n @d_poyz @suryo_alam @ViaVia99778184 @james_abdillah @dd9966 @IstiFatkur5 @Qarny7 @Raksa_I34ndera @Cute_Tagar @SenseObito @chaatriex Mulai bergejolak...??
#DPR_KhianatiSuaraRakyat 
Haruskah terjadi reformasi jilid 2..??
Semoga tidak perlu terjadi,tp spertinya percikan 2 itu mulai menyala, jk sampai ini membara maka terjadilah apa yg akn terjadi."
90,2022-01-30 19:00:01+00:00,"@Imsovapo podia ser dpr, daniel jikal ou be’o"
91,2022-01-30 18:59:38+00:00,"@Siajapul Benarkan beh... Lihat saja kelakuan mereka. Virus saja sdh bs mereka jadwalkan akan merebak diawal bulan ramadhan...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
92,2022-01-30 18:57:55+00:00,@rovinuraisyahh @tanyakanrl gedung dpr? gedung mpr? atau gedung apa?
93,2022-01-30 18:57:08+00:00,Anggota DPR Papua Fauzun Nihayah Bantu Warga di Merauke https://t.co/bHsNNHM4Zq
94,2022-01-30 18:56:17+00:00,"Karena mereka punya kuasa. Rakyat pun semangat. Aparat mereka yg punya. Yg siap sedia dgn amunisinya setiap rakyat maju bergerak..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
95,2022-01-30 18:54:36+00:00,Anggota DPR Papua Fauzun Nihayah Sampaikan Pesan Politik Kepada Suku Wambon https://t.co/Pma1SNbMj8
96,2022-01-30 18:54:29+00:00,"Entaaahlah.... Anak siapalah ini..??

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
97,2022-01-30 18:54:06+00:00,@DPR_Jalanan Kalau mampir di kabari bang 🙏
98,2022-01-30 18:52:43+00:00,"@Siajapul Hebatnya lagi merasa dirinya seperti Tuhan..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
99,2022-01-30 18:51:44+00:00,"Pan slama inih cuman bisa nonton dowang, nontonin
#DPR_KhianatiSuaraRakyat"
100,2022-01-30 18:49:01+00:00,"Kalo rakyat cuma jadi penonton. Bakalan terjadi...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
101,2022-01-30 18:47:46+00:00,"E busuttt berat

#DPR_KhianatiSuaraRakyat"
102,2022-01-30 18:46:51+00:00,"Jan biarkan

#DPR_KhianatiSuaraRakyat"
103,2022-01-30 18:46:30+00:00,"Tak sekalian je TT Kamal...??

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
104,2022-01-30 18:45:43+00:00,"Palasu...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
105,2022-01-30 18:44:04+00:00,"@B_dzoel Ya bisa saja... Kalo jiwa pengkhianat sdh melekat..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
106,2022-01-30 18:42:25+00:00,"@B0eB0ey_Kut13L Sdh beralih fungsi... Fungsinya hanya menyenangkan penguasa dan menyengsarakan rakyat..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
107,2022-01-30 18:41:10+00:00,"Alamat palsu...

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
108,2022-01-30 18:40:57+00:00,"Kok bisa ya ?
Adakah suara dari wakil kita ?
Ataukah #DPR_KhianatiSuaraRakyat"
109,2022-01-30 18:40:40+00:00,"Oke... Ttdj ya..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat https://t.co/bJDgskuFHR"
110,2022-01-30 18:39:55+00:00,"Nah eta geuning

#DPR_KhianatiSuaraRakyat"
111,2022-01-30 18:39:23+00:00,"@GUnitedday Harus....bg maul...👍👍

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
112,2022-01-30 18:38:06+00:00,"@Elviny_98 Wakil yg sama skali gk berfungsi 

#DPR_KhianatiSuaraRakyat"
113,2022-01-30 18:38:05+00:00,"Kmana-mana

#DPR_KhianatiSuaraRakyat"
114,2022-01-30 18:37:32+00:00,"Mau kemana...?? Wait2 segala..

#DPR_KhianatiSuaraRakyat 
#DPR_KhianatiSuaraRakyat"
