,Date,Tweet
0,2022-07-30 23:55:41+00:00,"@ruhutsitompul @panca66 Wei hut...kalu bahasa orang manado bilang ngana itu pece tu ontak...ngana pe mulu kasar...masa mantan Anggota DPR RI kong mulu tarabe...
Sungguh Ironis..."
1,2022-07-30 23:53:01+00:00,dpr ian - calico
2,2022-07-30 23:50:28+00:00,"@Simbok_Dharmi @Triyogo22684337 @jokowi @DPR_RI @puanmaharani_ri @DPDRI @LaNyallaMM1 @mprgoid @DivHumas_Polri @ListyoSigitP @Puspen_TNI Dimana TNI dimana Polri tangkap manusia"" bejad sdh merendahkan PANCASILA sebagai DASAR NEGARA RI."
3,2022-07-30 23:47:12+00:00,"Ketum Golkar @airlangga_hrt melakukan pertemuan dengan sejumlah pimpinan teras partai yang berkuasa di Jepang, Partai Demokrat Liberal (LDP), Presiden LDP Fumio Kishida, Jubir LDP Taro Kono, dan anggota DPR Jepang yang juga Chairperson LDP Tatsuo Fukuda. https://t.co/jHPjFgdyUr"
4,2022-07-30 23:46:44+00:00,DPR IAN je t’aime
5,2022-07-30 23:45:49+00:00,@kwannies_ DPR IAN
6,2022-07-30 23:41:43+00:00,"@bdleonanda Di ajak perang gak mau gua, DPR dan cebong NKRI harga mati yg selalu teriak teriak suruh maju duluan, buat apa aku jadi umoan pelor kalau merdeka, apa apa di korupsi dan semau dengkul mereka memerintah"
7,2022-07-30 23:40:42+00:00,"si @iwanfals kagak vokal sama kelakuan DPR yg sekarang, ORBA MASIH MENDING, PDI DAN PPP MENGAJUKAN HAK INTERPELASI AJA TAK ADA MATIKAN MIC OLEH KETUA MPR DULU YG DIKUASAI GOLKAR"
8,2022-07-30 23:36:58+00:00,"DPR bukan sembarang DPR nih!!

#TXTPALOOZA Jilbab Paypal LPDP LILIFILM THE MOVIE 100 M #GetWellSoonRei #BigMouthEp2
#TodaysWebtoonEp2 #TOMORROW_X_TOGETHER #JusticeForGaram
https://t.co/qMxcmuQTCA"
9,2022-07-30 23:34:26+00:00,dpr ian; seraph (2022) https://t.co/QAJOma6VGv
10,2022-07-30 23:28:02+00:00,Tebak anggota DPR ini dulu terkenal larena apa? https://t.co/OH5nNVSvby
11,2022-07-30 23:23:44+00:00,"ga suka om om, ga suka cowo gondrong, cowo tattoan, tapi kalo dpr ian bisa dibicarakan"
