,Date,Tweet
0,2022-06-29 23:59:53+00:00,@C4kDeep_ Tahun main tik tok anak mudanya. 20 tahun kemudian mereka kena tik tok. Jika memilih diam melihat dpr sesuka hati buat uu
1,2022-06-29 23:59:01+00:00,@__Bungs @DPR_RI @mohmahfudmd @BEMUI_Official @BemsiOfficial  pada kemana lo semua?  Eh itu bisa ganggu kepentingan bohir ya ??
2,2022-06-29 23:58:40+00:00,"Demokrasi dibungkam, susah susah diperjuangkan jaman orba, sekarang mau balik lagi jalan orba..enak elu duduk di DPR hasil perjuangan mahasiswa/ reformasi..sekarang lu gak mau dikritik..Jan..k"
3,2022-06-29 23:58:03+00:00,"Ganja Medis Masuk DPR, Hari Ini Komis III Undang Pemohon dan Pakar Minta Masukan https://t.co/OEcUM89jaq https://t.co/8z7VcAhcqg"
4,2022-06-29 23:57:55+00:00,"TOP 3 Sports: Persik Kembalikan Trofeo Ronaldo, DPR Tolak Jordi Amat https://t.co/OBtpgCZWik"
5,2022-06-29 23:57:48+00:00,@adriansyahyasin Begitulah ujar Bapak DPR yang mendapatkan kendaraan dinas dan setiap berangkat selalu diiringi tett tettt kyuuuu
6,2022-06-29 23:56:56+00:00,@OnayRiano @__AnakKolong @DPR_RI @DKIJakarta Mau pulkam insya Alloh..Bru ketempat adk ntr
7,2022-06-29 23:55:52+00:00,@PartaiKremi @PejuangIndah90 @GunRomli Yang mengontrol pemerintah ya DPR sebagai mitra.
8,2022-06-29 23:54:24+00:00,"@adiiiinn @__AnakKolong @DPR_RI @DKIJakarta Hai ...
Selamat pagi mbak guru.
Smg sehat ya beserta keluarga

Liburan kemana aja mbak ?"
9,2022-06-29 23:54:04+00:00,"Wacana Kaji Legalisasi Ganja Medis, DPR: Perlu Asas Kehati-hatian dalam Legalisasi https://t.co/4FsjjIHL25"
10,2022-06-29 23:52:00+00:00,"@geloraco DPR hilang marwahnya cm kang stempel pemerintah... 
DPR koalisi dengan pemerintah saja sudah aneh dengernya krn fungsi kontrolnya jadi mandul..."
11,2022-06-29 23:50:13+00:00,"@anisfauzan1 @DonAdam68 Tapi @pertamina mengendalikan penjualan bbm yg jadi hajat orang banyak. Para pejabat, @jokowi dan para anggota @DPR_RI @fadlizon @hincapandjaitan @JazuliJuwaini ngga butuh Pertalite"
12,2022-06-29 23:46:36+00:00,"@CNNIndonesia Beda fungsi sinterkelas dg juru damai, karakter dn sikap ini dahulu dipahami baru jalani misi damai.*wara-wiri_ukraina 🇮🇩
@jokowi @DPR_RI @mprgoid @PBIDI @Puspen_TNI @DivHumas_Polri @Cakra_Kostrad @Unair_Official @Kemlu_RI @univ_indonesia @UGMYogyakarta @iai"
13,2022-06-29 23:43:28+00:00,"Selamat pagi temen-temen, pagi ini yuk kita gaungkan tagar dibawah ini, terkait dgn pembahasan RKUHP di DPR yg draft nya belum juga di buka ke publik : 
#RezimTakutDi_Kritik
#RezimTakutDi_kritik"
14,2022-06-29 23:42:25+00:00,@panca66 DPR ga ada gunanya kalo bgini
15,2022-06-29 23:41:38+00:00,Rezim bobrok meh teu era teuing pasal penghinaan nu tadina jang presiden nepi ka DPR hungkul pas zaman SBY ayeuna di tambahan nepika camat RT RW
16,2022-06-29 23:40:05+00:00,@panca66 Kalian yg di DPR yang dagelan
17,2022-06-29 23:39:10+00:00,@idextratime ini rang dpr ngapain si? 😂
18,2022-06-29 23:38:45+00:00,"untuk @pertamina @DPR_RI dan pak @erickthohir 
lebih mudah mana mengontrol motor yg antre bensin atau memaksa minim Fortuner,Alphard, mercy, bmw ngisi pertamax?"
19,2022-06-29 23:37:54+00:00,"@__AnakKolong @DPR_RI @DKIJakarta Salah satu pendekar ...
di Sarang Penyamun 😜"
20,2022-06-29 23:37:39+00:00,@0xJULbigwin @__AnakKolong @DPR_RI @DKIJakarta Mkch mbak🙏❤️
21,2022-06-29 23:35:01+00:00,"Pasal 240 RKUHP 
Ancaman dipenjara Orang yang menghina Pemerintah, termasuk Polisi, BNN, DPR dan mengakibatkan kerusuhan 

====

Mereka nggak perlu dihina sebenarnya Kelakuan nya sudah Sangat Terhina 

#RezimTakutDi_Kritik
#RezimTakutDi_Kritik"
22,2022-06-29 23:34:01+00:00,"@tvOneNews Saat ada org Aceh bbrp th lalu minta diberikn lahan utk budidaya ganja n yakin devisa 20T/th tak ada londoireng n DPR yg peduli, saat ada kaum mrk yg merengek2 baru mulai beri prhatian! Hati2 bangsa Aceh, bila ganja dilglkn bisa2 yg olah n atur mlh londoireng, Aceh cm dpt seupil!"
23,2022-06-29 23:33:26+00:00,"Pengesahan pembentukan tiga provinsi baru di Papua akan tetap digelar dalam Rapat Paripurna DPR, hari ini. Konflik sosial berpotensi pecah antara kelompok masyarakat yang pro dan kontra pemekaran. #Polhuk #Kompas57

https://t.co/GLLYw7mpjr"
24,2022-06-29 23:33:26+00:00,"Presiden dan DPR, Buka Naskah Terbaru RKUHP ke Publik! - Tandatangani Petisi! https://t.co/kcenusz6To via @ChangeOrg_ID"
25,2022-06-29 23:31:37+00:00,"@__AnakKolong @DPR_RI @DKIJakarta Saya suka sosok Ahok.
Gayanya yg ceplas ceplos dan apa adanya menunjukkan klo dia tdk berhutang budi dan tdk makan dg disuap"
