,Date,Tweet
0,2022-03-30 23:59:58+00:00,@collegemenfess Hmmm cosplay jd anggota dpr mungkin. YTTA
1,2022-03-30 23:58:48+00:00,"""Gorden Pemisah"" Seharga 90 Juta

#DPR #GedungDPR #Gorden #RakyatMerdeka #RMid

https://t.co/3iUuEi6pOK"
2,2022-03-30 23:58:46+00:00,DPR yg penting dirinya... Rakyat dilupakan...
3,2022-03-30 23:57:57+00:00,@Haisa_HS Rakyat berdosa kalo cuek kondisi wakilnya di DPR bergorden kain pel ... Monggo pak sekjen dianggarkan aja gorden dari emas 24 karat... kami rakyat cukup sekarat aja
4,2022-03-30 23:56:22+00:00,"Kuncinya sih ada pada mereka mereka yang duduk disana. Di @DPR_RI .

Mau ditunda kek, mau 3 periode kek, ASAL SEJALAN DAN SESUAI KONSTITUSI gak ada MASALAH!
✌️✌️✌️"
5,2022-03-30 23:54:44+00:00,"""Cinta kalau cuma kata-kata mending taruh saja ke Gedung DPR""
#qoutes"
6,2022-03-30 23:54:09+00:00,"@RamliRizal Makanya bang, Anda harus bikin Partai aTO masuk partai biar lalu nyalon DPR. Koar"" diluaran itu gak ada gunaa. Sbb semua Keputusan itu dibuat di PARLEMEN bukan di MEDSOS aTO Jalanan....
😃😃😃"
7,2022-03-30 23:54:04+00:00,"@basrahmat @BenWaspada @KompasTV @jokowi Salah era SBY, menaikkan harga BBM lewat persetujuan DPR, yah wajar dong partai menolak, padahal klo mau menaikkan tinggal menaikkan tanpa perlu ijin DPR dulu"
8,2022-03-30 23:53:19+00:00,"@Dennysiregar7 Emangnya dia apa sihhh... anggota DPR bukan, menteri bukan....

Kok @KPK_RI mesti heboh amat buat panggil dia....

Apa takut bos nya marah ???"
9,2022-03-30 23:50:33+00:00,"Tanggapi Anggaran DPR Soal Ganti Gorden, Krisdayanti Buka Suara https://t.co/Z7nqyepjZM https://t.co/uuO2htEQ2h"
10,2022-03-30 23:49:16+00:00,"Perkiraan sihh hitc di jakarta kan akhir tahun yaa, sedangkan akhir tahun tuh DPR lagi sibuk buat tour juga. Kayanya sihh 88 rising gak masukin DPR ke list nyaa deh 🤔 dan DPR pasti ngadain tour di Jakarta, aku sih megang omongannya scott aja waktu ngomong di spaces twitter"
11,2022-03-30 23:48:16+00:00,"@DPR_RI Bpk ibuk DPR, mohon dikaji ulang ttg Pertamax yg heboh diberita yang DPR setujui harganya 16rb/ liter. Tdk semua hidup mewah pak. Sebagian org milih pertamax krn ingin kendaraannya awet dan irit bahan bakar, tinggalpun msh ngontrak. Pny kendaraan spy bs mobile krn bnyk aktifitas"
