,Date,Tweet
0,2022-05-30 23:58:39+00:00,@bambangmulyono2 Hehehehhe...... siapa yg ngomongin anggota dpr
1,2022-05-30 23:56:23+00:00,"@FPD_DPR @hincapandjaitan Alhamdulillah,ada yg mewakili suara mayoritas masyarakat"
2,2022-05-30 23:53:39+00:00,TE AMO DPR IAN🫣
3,2022-05-30 23:49:04+00:00,"Menag Ajukan Tambahan Dana Haji Rp 1,5 Triliun ke DPR

Lo yakin masih mau naruh dana haji di sini, jika 1%nya hilang entah kemana dan ujungnya ajukan tambahan dana haji 
 https://t.co/qPXN6ps5Ry"
4,2022-05-30 23:44:17+00:00,"@CNNIndonesia waduh terus piye koruptor jadi penyidik 
@DivHumas_Polri
 , 
@DPR_RI"
5,2022-05-30 23:43:35+00:00,"@tribunnews waduh terus piye koruptor jadi penyidik @DivHumas_Polri , @DPR_RI"
6,2022-05-30 23:43:23+00:00,"Tak perlu terburu-buru mengesahkan RUU KUHP sebelum pemerintah dan DPR membuka pasal kontroversial kepada publik. Buka perdebatan publik agar publik masih dianggap sebagai pemilik republik. #Opini #AdadiKompas
https://t.co/7w2P2sS6gN"
7,2022-05-30 23:42:19+00:00,"Tak perlu terburu-buru mengesahkan RUU KUHP sebelum pemerintah dan DPR membuka pasal kontroversial kepada publik. Buka perdebatan publik agar publik masih dianggap sebagai pemilik republik. #Opini #AdadiKompas
https://t.co/ye86iOewWW"
8,2022-05-30 23:38:05+00:00,DPR Minta Menpora Tingkatkan Penerapan DBON Setelah Sukses di SEA Games 2021 https://t.co/4YqXAxIPXF
9,2022-05-30 23:37:45+00:00,"@republikaonline Militer urusi masalah ekonomi rakyat sipil, mendag, menko ekonomi, DPR ngapain kerja nya...."
10,2022-05-30 23:35:13+00:00,"@Ediputra99 @dj_pang @PartaiSocmed Iya saya maafin karena anda salah. Kejagung itu kan yudikatif, pemerintah itu eksekutif, dpr itu legislatif. Gimana nilai ilmu sosialnya gak 0 lagi kan?"
