,Date,Tweet
0,2022-11-29 23:58:40+00:00,Wala ba mangsasama sa tour ng dpr jan? salohin niyo na ako we gang gang na to 😂
1,2022-11-29 23:56:20+00:00,Hokeyyy. Di ako makakapag dpr we gang gang. Lemme cry 😭
2,2022-11-29 23:55:17+00:00,"TINDAKAN DAN SARAN SALAH SEORANG RELAWAN PARTAI AMANAT NASIONAL (PAN) DALAM PENANGGULANGAN CEPAT KORBAN BENCANA GEMPA CIANJUR (Saran ditulis oleh : Darwin Purba, SKom, MM, DR(c) Bacaleg DPR RI PAN Jabar-06 Kota Bekasi dan Kota Depok)
https://t.co/OdsJO69irS"
3,2022-11-29 23:54:32+00:00,@ihatejyp @gothsforchan dpr ian
4,2022-11-29 23:54:19+00:00,sino ba naman ako para makapag dpr we gang gang
5,2022-11-29 23:53:39+00:00,Emang anggota DPR gak kuat beli pulsa terus telp...?
6,2022-11-29 23:52:42+00:00,"Terkait beredarnya isu dana BUMN yang mengalir ke acara Nusantara Bersatu, anggota DPR RI Dedy Yevri Sitorus dari komisi IV mengungkapkan bahwa, tidak ada dana BUMN mengalir ke acara tersebut, dan disinyalir sebagai isapan jempol belaka.
@erickthohir
#BangkitBersamaET https://t.co/orh6HljRda"
7,2022-11-29 23:51:37+00:00,Naol dpr we gang gang 🥹🥹🥹
8,2022-11-29 23:50:26+00:00,@RafliPadang @sabar_setiabudi @Mdy_Asmara1701 Eh orang goblok pilkada 2022 gak ada itu persetujuan dpr dan disahkan sebelum ada pilkada 2017.jadi jika ahok pun jadi gubernur maka dia juga akan digantikan pj
9,2022-11-29 23:50:25+00:00,nyari calo tiket dpr susah skli fak
10,2022-11-29 23:49:57+00:00,"Aku serkertaris, sekarang sibuk nya ngelebihin tuan dpr"
11,2022-11-29 23:47:25+00:00,"@jilly_billi @DPRIAN_ Ga nyangka anggota DPR selain menghimpun aspirasi rakyat, juga bakal duet nyanyi ma IU 😭"
12,2022-11-29 23:45:32+00:00,@detikcom P Basuki Nyindir Anggota DPR yg Rata2 hp.nya berharga diatas https://t.co/GRN03ZSfGH
13,2022-11-29 23:44:37+00:00,@ronikosmoss dpr cream😭
14,2022-11-29 23:43:45+00:00,@NarasiNewsroom Tidak termasuk anggota DPR gak nih ?
15,2022-11-29 23:42:34+00:00,"@joko_maryadi Emang tugas dpr itu curhat???
Koyo bocil ae"
16,2022-11-29 23:40:33+00:00,"Yukz ke Nganjuk
#NganjukKotaAngin
TPPJatim
#TPPPamekasan
@jokowi
 @halimiskandarnu 
@KemenkeuRI 
@DPR_RI 
@RaffiAhmadLagi 
@kemendespdtt https://t.co/LC3KxeiOGM"
17,2022-11-29 23:39:28+00:00,"@erickthohir dan DPR pastikan tak ada dana BUMN mengalir ke acara Nusantara Bersatu.
#BangkitBersamaET https://t.co/ABkOH2WLlc"
18,2022-11-29 23:37:25+00:00,"Kapolsek Bangun Purba Akp Herwin menghadiri Giat Kunjungan Bapak dr. SOFYAN TAN Anggota DPR RI KOMISI X FRAKSI PDI PERJUANGAN dalam rangka ""PENYRERAHAN SK PROGRAM INDONESIA PINTAR (PIP)  KEPADA SISWA/i SEKOLAH SD, SMP dan SMA"" di Kecamatan Bangun Purba Kabupaten Deli Serdang
#po https://t.co/QlB13SNPGG"
19,2022-11-29 23:35:06+00:00,"Menurut anggota Deddy Yevri Sitorus anggota Komisi VI DPR RI memastikan bahwa tidak ada dana BUMN mengalir ke acara Nusantara Bersatu yang berawal dari tudingan 
kabar soal dana dari BUMN hal itu merupakan fitnah keji

@erickthohir
#BangkitBersamaET https://t.co/KI59x2IqyZ"
20,2022-11-29 23:34:16+00:00,dpr we gang gang sana kung nasa manila lang tayo
