,Date,Tweet
0,2022-10-30 23:59:48+00:00,"@OposisiCerdas Relawan Ganjar hrs ingat ...

Ganjar jd anggota DPR krn budi baik Megawati (lewat PAW, gantiin salah satu kadernya yg diangkat jd Dubes).

Ganjar naik jd Gubernur jg krn budi baik Megawati yg mencoret Rustiningsih, yg jauh lbh layak utk ducalonkan.

So tau diri lah!"
1,2022-10-30 23:57:26+00:00,"@Muhammad_Saewad Agar dimaklumi :

- Mantan Narapidana !
- Bajingan Sempak Merah !
- Caleg DPR, tapi kalah !
- Kader DEMOKRAT, didepak !
- Masuk Partai lain, ditolak !
- Relawan JKW, ngakunya !
- Ngaku Mualaf, KTP kristen !
- Pekerjaan, pengangguran ?
- Terakhir, ada gangguan saraf !"
2,2022-10-30 23:55:35+00:00,"@OposisiCerdas Bacot doang gak ada buktinya kami sdah pintar pak kami berlu bukti bukan bacotan, tuh junjungan bapak bacot banyak gak ada yg terbukti. Rapat DPR RI gak ada tuh bacot tentang masalah rakyat cuma ada PKS dan DEMOKRAT."
3,2022-10-30 23:54:52+00:00,@DharulFit @OMB4K_13 @Save_Moslem @rimah432603231 @faruq06254776 @Sudarya16171841 @Mdy_Asmara1701 @Gilar1990 @aniesbaswedan @suryapaloh51 @NasDem @joulepakir @adianasrul @VIPNetizen @tatakujiyati @BosPurwa @abu_waras @SugiKawuloAlit @EdyKiantolol @satriadjenar @ilhamjati4 @ekowboy2 @AndiSinulingga @MCAOps @aherrys @maspiyuaja @andripurnamajat @WZastra @dprddkijakarta @DPR_RI @mprgoid @DPDRI @dprddki Ternyata pendukung jokowi orgil yg ikut nyoblos
4,2022-10-30 23:54:18+00:00,"Calon  DPR RI Dapil Maluku Utara 
#jasriUsman7 https://t.co/vbu1AO89jL"
5,2022-10-30 23:53:16+00:00,yang akan kulakukan di konser dpr karena konsernya weekday
6,2022-10-30 23:50:55+00:00,"lam nyo ba mga beg HAHAHHA akala ko soloist ang dpr hangga't sa nakita ko andaming puro may dpr 🥲 i tot talaga dpr ian lang talaga no dpr team 😭😭walang dpr rem,live and cream 🥹 diba shunga"
7,2022-10-30 23:48:42+00:00,DPR IN 14 DAYS???? https://t.co/J2N9osHkcx
8,2022-10-30 23:41:33+00:00,pembahasan rancangan undang-undang pemilihan umum yang tengah berlangsung di DPR RI.
9,2022-10-30 23:41:16+00:00,@VIVAcoid jd wakil DPR aja ga becus wkwk
10,2022-10-30 23:40:25+00:00,"@henrysubiakto @CCICPolri Luar biasa ngerinya mentalitas polisi Indonesia

Saya pun mengalami bagaimana buruk &amp; jahatnya kelakuan polisi dalam beberapa kasus

Yang mengerti hukum saja dipermainkan, apalagi yang awam hukum!

@DivHumas_Polri
@ListyoSigitP @DPR_RI @jokowi

https://t.co/amTjCHilWZ"
11,2022-10-30 23:40:04+00:00,"@psi_id Terus PSI bisa apa? 
Di DPR tak ada wakil untuk bersuara
Di DKI dah jadi pengagum Pemda karena Gubernurnya bukan Anies lagi
Mau bayarin biaya pengobatan nya?"
12,2022-10-30 23:39:54+00:00,"Jujur dikatakan bahwa pangkal semua kesalahan terkait obat dan makanan ialah DPR dan pemerintah. Kedua lembaga itu gagal menghadirkan undang-undang yang bermutu dan dapat dilaksanakan untuk kepentingan memperkuat Badan POM. #PodiumMI 
https://t.co/tm3rOEMb4C"
13,2022-10-30 23:39:30+00:00,dpr gang gang 😔
14,2022-10-30 23:31:50+00:00,"UU perampasan aset dan UU pembuktian terbalik itulah yg mestinya mahasiswa dukung, demo besar""an tuh DPR biar mau menyetujui RUU tsb"
15,2022-10-30 23:26:30+00:00,"bisa menang, dan tidak harus menang, menunjukkan kepribadian yang mulia."
16,2022-10-30 23:25:52+00:00,DPR DAN MPR MANDUL.  BUBARKAN https://t.co/kykPmvWU0h
17,2022-10-30 23:25:29+00:00,@ian__dpr @LUNERPW Iyaa kakk
18,2022-10-30 23:25:26+00:00,@Gamal_Albinsaid Maju akh. Semoga antum bisa duduk di DPR RI tahun 2024 insyaAllah
19,2022-10-30 23:24:40+00:00,"WALHI anggap Indonesia butuh UU perubahan iklim.

DPR akankah terwujud ?
#62NegeriKrisis iklim
#62NegeriKrisis kepercayaan 
👇👇👇
https://t.co/ZIG8GLheDu"
20,2022-10-30 23:24:13+00:00,"@hansssolo Karena pekaes yang diuntungkan, kampanye dimodalin sama 2 partai itu, sementara bisa jadi perolehan suara du DPR lebih gede dari kedua partai itu..."
21,2022-10-30 23:24:01+00:00,"Nasib Petani Mengenaskan, DPR : Malu kita jadi negara agraris tapi lemah pengelolaan.

Oleh karenanya bapak/Ibu di DPR sana jangan banyak tidur.

#62NegeriKrisis
#62NegeriKrisis
👇👇👇
https://t.co/QjDAvky9o2"
