,Date,Tweet
0,2022-09-29 23:59:56+00:00,@NahiMungkar5 @LaNyallaAcademy @DPR_RI @KPK_RI @222Robinhood @Kayhatu @f_fathur @ElinaDio @ArdiRiau3 @aniesbaswedan @AgusYudhoyono @RizkiAsihan @Gerindra @PKSejahtera @NasDem @ListyoSigitP pemilik shm https://t.co/bTHmhAmPVR
1,2022-09-29 23:59:38+00:00,"Haha…
Siapkan Sekoci?

Momen Sri Mulyani Teriakkan Slogan NasDem dan Demokrat di Rapat DPR https://t.co/QIRtB9yGfP"
2,2022-09-29 23:59:06+00:00,"@Agathis08685249 Jaman naw, ada yg bangga jadi anak pki, bahkan masuk partai dan jd anggota dpr nih skrg. Heran sy, apakah sy yg tolol atau gimana ya??"
3,2022-09-29 23:57:31+00:00,"@ian__dpr Aku swiper ceritanya, blee"
4,2022-09-29 23:57:22+00:00,"@Pecel_Lele5678 @Kimberley_2022 Kan swasembada sertifikat buatan Kementan, infonya waktu kemaren waktu rapat dg DPR 🤭🤭"
5,2022-09-29 23:56:32+00:00,"@dpr_yian Itu mint, kah? Mirip matcha ㅋㅋㅋ thank you Kak! I hope so, let's interact more. Sering-sering traktir yaa hehehe."
6,2022-09-29 23:56:13+00:00,"@KompasTV atau coba gaji DPR setarakan dengan UMR tanpa tunjangan2,cabut kendaraan dinas,rumah dinas,dan pensiunan,mari sama2 kita lihat siapa yang masih mau jadi anggota DPR"
7,2022-09-29 23:55:37+00:00,Anggota DPR Harapkan BSI Jadi Motor Pengembangan Keuangan Syariah https://t.co/6P4bjbkmRq
8,2022-09-29 23:55:19+00:00,Fraksi PKS DPR Ajak Ormas Islam Kolaborasi Bahas RUU - Nasional https://t.co/qZCWkW9UZW https://t.co/FBQmmSrTsM
9,2022-09-29 23:54:33+00:00,Fraksi PKS DPR Ajak Ormas Islam Kolaborasi Bahas RUU https://t.co/enHOKCoXr1 #TempoNasional
10,2022-09-29 23:53:39+00:00,"@KompasTV numpang nanya pak,DPR itu kan dewan perwakilan rakyat,jadi tugasnya menyampaikan aspirasi rakyat,tapi knapa dpr sering bikin undang2 yang bahkan rakyat sendiri kebingungan bahkan keberatan dengan undang2 itu?kalo rasanya gak bisa mewakili lagi mending bubarkan"
11,2022-09-29 23:52:54+00:00,@ZAEffendy @Mr_Ladusingh Gegayaan ngomong diluar di DPR di marahin emak2 😁
12,2022-09-29 23:51:53+00:00,"Simak #RedaksiKompasBicara bahas ttg Headline @hariankompas
Jumat,30 September 2022

● Belanja Susu Formula Per Tahun Capai 3 Triliun
● Sikap DPR bisa rusak Independensi Peradilan 

Simak ulasannya &amp; berita2 lainnya Pk.07.20 di #SonoraNetwork

Streaming:
https://t.co/uhOhw61n4n https://t.co/klHRZj59Mj"
13,2022-09-29 23:50:42+00:00,"Pencopotan dilakukan oleh keputusan DPR
Apa yg salah dgn Jokowi?"
14,2022-09-29 23:49:35+00:00,@putri_Aalona @puanmaharani_ri @ganjarpranowo Mundur dari apa? Ketua DPR RI dan ganti ganjar?
