Tweet,Sentimen
@collegemenfess Hmmm cosplay jd anggota dpr mungkin. YTTA,negatif
"""Gorden Pemisah"" Seharga 90 Juta

#DPR #GedungDPR #Gorden #RakyatMerdeka #RMid

https://t.co/3iUuEi6pOK",negatif
DPR yg penting dirinya... Rakyat dilupakan...,negatif
@Haisa_HS Rakyat berdosa kalo cuek kondisi wakilnya di DPR bergorden kain pel ... Monggo pak sekjen dianggarkan aja gorden dari emas 24 karat... kami rakyat cukup sekarat aja,negatif
"Kuncinya sih ada pada mereka mereka yang duduk disana. Di @DPR_RI .

Mau ditunda kek, mau 3 periode kek, ASAL SEJALAN DAN SESUAI KONSTITUSI gak ada MASALAH!
✌️✌️✌️",negatif
"""Cinta kalau cuma kata-kata mending taruh saja ke Gedung DPR""
#qoutes",negatif
"@RamliRizal Makanya bang, Anda harus bikin Partai aTO masuk partai biar lalu nyalon DPR. Koar"" diluaran itu gak ada gunaa. Sbb semua Keputusan itu dibuat di PARLEMEN bukan di MEDSOS aTO Jalanan....
😃😃😃",negatif
"@basrahmat @BenWaspada @KompasTV @jokowi Salah era SBY, menaikkan harga BBM lewat persetujuan DPR, yah wajar dong partai menolak, padahal klo mau menaikkan tinggal menaikkan tanpa perlu ijin DPR dulu",negatif
"@Dennysiregar7 Emangnya dia apa sihhh... anggota DPR bukan, menteri bukan....

Kok @KPK_RI mesti heboh amat buat panggil dia....

Apa takut bos nya marah ???",negatif
"Tanggapi Anggaran DPR Soal Ganti Gorden, Krisdayanti Buka Suara https://t.co/Z7nqyepjZM https://t.co/uuO2htEQ2h",negatif
"Perkiraan sihh hitc di jakarta kan akhir tahun yaa, sedangkan akhir tahun tuh DPR lagi sibuk buat tour juga. Kayanya sihh 88 rising gak masukin DPR ke list nyaa deh 🤔 dan DPR pasti ngadain tour di Jakarta, aku sih megang omongannya scott aja waktu ngomong di spaces twitter",negatif
"@DPR_RI Bpk ibuk DPR, mohon dikaji ulang ttg Pertamax yg heboh diberita yang DPR setujui harganya 16rb/ liter. Tdk semua hidup mewah pak. Sebagian org milih pertamax krn ingin kendaraannya awet dan irit bahan bakar, tinggalpun msh ngontrak. Pny kendaraan spy bs mobile krn bnyk aktifitas",negatif
@detikcom DPR harusnya Posisi sekarang Harus Lebih Prehatin dulu.. Seadanya dulu Lihatlah Rakyat dulu. Apakah Benar DPR itu Perwakilan Rakyat,negatif
"DPR kok setuju aja, berpihak kemana..????",negatif
"@BennyHarmanID Salah anda sendiri mana fungsi kontrol DPR thdp jalannya sistem pemerintahan 
Susah memang bila DPR sendiri sudah merupakan genk oligarky rakus kekuasaan bin serakah jabatan dengan melepeh kepentingan rakyat",negatif
mau jadi anggota dpr deh,negatif
"@republikaonline #LUGU ...
Lihat apa jdnya DPR dan arah politik Indo skrg stlah Anak_keturunan PKI yg ditampung PDIP diprbolehkan jd anggota DPR ??
Mreka malah brusaha mengganti Pancasila mjd #Ekasila/Kegotong_royongan !!!
🤪",negatif
@yunartowijaya Kayak gak tau aja. Kuncinya ya di Ketum parpolnya lah. Anggota DPR mah ngikut aja. Opung ya cukup lobby Ketum parpol. Makanya fokus ke Opung yg powefull.,negatif
"@yaniarsim @RizkyHabibie13 @jokowi Calon para pejabat DPR masa depan, jadi inget @Fahrihamzah @fadlizon @AdianNapitupul1 saat 1998. #MahasiswaBersatu #Tolak3Periode",negatif
@DPR_RI Masihkah anda anda peduli dengan keadaan bangsa ini masihkah anda anda peduli dengan rakyat yang begitu sengsara,negatif
"@killthedj @jokowi mqaf nih ya :
1. bukti anda memilih jokowi apa ?
2. emang yg semua yg dukung jokowi butih imbalan ?
3. emang pernah ada pikiran jokowi ngangkat anda jd menteri ? 
4. ketika rakyat mayoritas mendukung jokowi, dan dpr sbg wakil rakyat yg memiliki wewenang amandemen bersepakat ...",negatif
"@YoezZar @NenkMonica @ReflyHZ @rockygerung_rg @DPR_RI Jangan terlalu berharap sama @DPR_RI yang penakut dan lemah, mereka hanya kebetulan saja menjadi anggota dewan, tapi kemampuan dan kepeduliannya NOL",negatif
"Ayo DPR kerja .. rubah konstitusinya 🤪🤪

Respons Dukungan Jabat Tiga Periode, Jokowi: Kita Harus Taat kepada Konstitusi
https://t.co/U5ikBDlxCL",negatif
"Ketua BURT DPR Minta Anggaran Gorden Rp48,7 Miliar Ditinjau Ulang #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/ySpCgx1Kds",negatif
"DPR indo melu-melu amerika, asu og",negatif
@poo_00_o @danolltii dpr live / hong dabin,negatif
"DPR Komisi XI Pertanyakan Dana BPDPKS Timpang Antara Insentif Biodiesel dan PSR
#Beritasawit #Sawit #palmoil #infosawit https://t.co/ULj0VK3uBW",Positif
"@geloraco DPR itu digaji besar dari Uang Rakyat bukan Cuma untuk manggut-manggut dan selalu setuju dengan kebijakan yang tidak memihak kepada Rakyat, kalo bergitu percuma ada DPR....",negatif
@jenopulmao dpr ian / dpr live https://t.co/UCD4sXfUJn,negatif
"Nasabah Dan DPR Minta WanaArtha Beroperasi Lagi - https://t.co/3AD67PqPrB

Memang ada Santi dan Stephanie ikut demo sesuai berita ini ??? Wartawan detik tolong dijawab karna setahu kami tak ada mereka dalam demo di OJK kematin jd berita ini drmana ?",negatif
"@geloraco Dsar bahlu....,katanya duduk di dpr,apa masuk dpr ga belajar UUD gitu ya😴",negatif
"@DPR_RI @FPKSDPRRI 

Kerja!

@NajwaShihab @karniilyas @korantempo @tempodotco",negatif
@heartofgom Dirampok buat beli tirai gedung dpr yg alokasi dananya sampe 1 M 👍,negatif
"DPR kalau memperjuangkan baru namanya wakil rakyat, permasalahan ini krusial ruwet nanti biaya sim bisa saja dihapus tapi cek lain lalinnya bisa tambah....dan aturan ditambahi jadi peluang calo calo...karena tambah gak praktis alias ruwet",Positif
@cybsquad_ @tni_ad @Puspen_TNI @DPR_RI Dibolehkan ntr ditempatkan di iikn yg baru ....,negatif
"@jokowi Taat konstitusi bukan menolak jabatan 3 periode,kalau sebagian besar masyarakat yg d wakili oleh DPR utk Amandemen Konstitusi memperbolehkan jabatan 3 periode itupun bpk harus taat konstitusi...!!!",negatif
@6undul0h #DPR_RI sadarlah,negatif
@remajaparuhbaya dpr ian ayo nanbah  bias,negatif
@jannotama @alisyarief @DPR_RI @mprgoid Alfatihah... Aamiin YRA,negatif
"Kita lihat apakah anggota dpr, lidahnya berbisa? Siapa tau mereka semuanya setuju adanya penundaan pemilu dan berubah dari apa yg didengungkan sekarang, seolah menolak..",negatif
"DPR Usulkan Perpanjangan SIM Gratis, Ini Alasannya https://t.co/bbTjQbTJLT #TempoOtomotif",negatif
"@maspiyuaja pinter banget kalo bikin plot twist....""waktu harga 5.500 kok gak turun""
gini ya tong...emang gak dihitung harga beli sebelumnya...cara penetapan harga di sini itu gak dilepas bebas kek negara lain yg per hari berubahnya sesuai pasaran...disini naik turun harus persetujuan DPR..",negatif
"Jika ada yg menginginkan masa jabatan 3 periode bahkan seumur hidup, silahkan saja tapi bukan Presiden dan Wakil Presiden atau Kepala daerah tapi  jadilah Anggota DPR, DPRD, DPD, anda bebas..  

#StopJokowiTigaPeriode
#StopJokowiTigaPeriode https://t.co/PEqi4bsWSE",negatif
@Widinarko1 @satriohendri @joserasyid @tvOneNews Tanpa DPR insyaallah Indonesia tetap maju,Positif
"Di tengah sulitnya ekonomi rakyat yang terus mencekik karena berbagai kebutuhan pokok naik, para wakil rakyat justru sibuk ""mempercantik"" aksesoris Rumah Jabatan Anggota (RJA) DPR. Inikah tanda sense of crisis wakil rakyat telah sirna?
https://t.co/vz7hfoGIYf",negatif
"@korantempo Ya namanya jga di ajak jalan2 ke gedung MPR DPR alhmdulilah tugasnya cuma srh tereak mudah bngt ,dikasih uang saku dpt nasi kotak pke dging,ke jkrta.klu sendiri niat mna mungkin wong yg di korup dana desa dikit mending buat beli sawah Ama kbon.sisanya buat nyawer dah kpn lgi.",negatif
"Kenapa cukong selalu lebih maju selangkah, lebih canggih sama perangkat hukum, ya karena cukong yang membiayai hukum itu sendiri. Misalnya cukong mau berbuat kejahatan 6 bulan lagi, tinggal mulai bulan ini cicil nyogok anggota DPR buat menghasilkan produk hukum yg melindunginya.",negatif
@jokowi Dan konstitusi akan coba diubah melalui kongsi DPR,negatif
masa aku mimpi DPR Ian baca buku Laut bercerita wkwkwk,negatif
"Sudah saatnya kah sekarang, RAKYAT menggunakan HAKnya, Impeachment ( PEMAKZULAN ), karena Presidenku ini NEKAT, nekat SALAH @jokowi @MPRRI @DPR_RI

Damai Hari Lubis ketua Aliansi Anak Bangsa ""Jokowi adalah Presiden yg nyata² banyak BERBOHONG"" https://t.co/gjvnu3fEtr",negatif
@CNNIndonesia Naah kan ini yg kalian mau kan.... Memprovokasi dpr untuk revisi UU. Padahal sebenarnya mau??? Silahkan saja... Mungkin 98 jilid 2 akan terjadi,negatif
@IsmailBhakti @Smsl_alghozali Bukan opini karena anggota DPR komisi IX Dede Yusuf ikut berkomentar terhadap hilangnya kata Madrasah didraf RUU SISDIKNAS.,Positif
Mau nyerahkan urusan perpanjangan pilpres ke DPR? Lihat aja track recordnya DPR,negatif
@PRFMnews Makin menjerit saja rakyat. Makanya 2024 harus jelas milih harus berubah jangan milih yg buat rakyat sengsara @DPR_RI,negatif
@bambangmulyono2 @ridwankamil @KemenBUMN @erickthohir @KemensosRI @puanmaharani_ri @DPR_RI Ini sudah ditangani oleh dinsos sukabumi kemaren siang,Positif
"Gorden Baru Rumah Dinas DPR Rp.7,3 Juta Per Ruangan, Pedagang Mayestik: Mengada-ada https://t.co/K3MA3kRSI4",negatif
"DPR YG PALING AMBURADUL,IYALAH DI REZIM  ,YG AMBURADUL https://t.co/soG4hs8o2W",negatif
@liputan6dotcom Boleh daftar dan uda terjadi Terdaftar di duga anggota DPR ada keturunan PKI...bgmn dgn Lembaga lainnya....apakah indonesia uda melupakan sejarah PKI ??,negatif
"Catat!
Kalo sampe terjadi amandemen UUD 1945 dan menambah masa jabatan presiden, saya tidak percaya lagi dgn Partai Politik.

DPR bukan lagi Wakil Rakyat.",negatif
(((Kayak baru pertama aja denger berita begini dari DPR))),negatif
@pengarang_sajak Panggil lagi donk @DPR_RI @PBIDI gitu aja koq repot,negatif
@YRadianto @DPR_RI Gorden kelebihan bayar ki,negatif
"Di Badung, Bali 
Ada spanduk ukuran jumbooo,, 
Mbak puan maharani, ketua DPR.
Busyet dah, panduk tok di besari tapi gak becus kerja!!!!. Tumben ada ketua DPR seperti itu, takut gk ada yg kenal ya?. Dn ujungnya nanti pki nama alm. Kakeknya 😁.",negatif
@geloraco Piling saya jika pemilu 2024 di tunda.istana dan Gedung DPR RI/MPRRI akan di sita oleh Rakyat.dan jkw tidak sah menjadi presiden (ilegal),negatif
"@Yatie84991237 @asli_lanang @PBIDI @DPR_RI Dimana ada kadrun disitu ada keributan. Makanya kadrun perlu dibuang ke laut, dan harus!",negatif
@jokowi Tp tolong bilangin ke partai koalisi di @DPR_RI agar tidak mengamandemen UUD 45 terutama di poin jabatan presiden,negatif
"@liputan6dotcom @DPR_RI bubarkan saja
Ga ada guna
Kau dijadikan wakil untuk mensejahterakan rakyat
Bukan membuat susah 
Bubarkan ga ada gunanmu
Dengan alasan mengikuti harga minyak dunia
Giliran minyak turun ada kau turunkan minyak
Wakil apa kau namanya
BUBARKAN SAJA",negatif
"@acmeiraa @txtdarisukabumi DPR kalo gak bubar, paling gak ganti nama lah. Malu soalnya gak sih? Wakilin rakyat, tapi ntah rakyat mana.",negatif
@BennyHarmanID Terus dpr mpr pada diam aja ?? Kemon pak.. cabut mandat presiden.. ini sudah kelewat batas keblingernya,negatif
"KADO MENJELANG RAMADHAN, DAN RAKYAT MAKIN MELARAT. TERIMAKASIH PRESIDEN @jokowi @Kiyai_MarufAmin @DPR_RI 
#MahasiswaMelawan Jokowi Kades Kepala Desa #WajibLengserkanJokowi #PeoplePowerLengserkanJokowi #BonekaPemalakRakyat 
@aliansibem_si @UGMBergerak @BEMUI_Official @BEMUNAIR_ID https://t.co/yedQfMac6a",negatif
"@__Sridiana_3va Oiyaa kn wakil... apa2 kudu di wakilkan 
... sueee kau dpr",negatif
"@DPR_RI kan belanja hordeng ny g pake duit sndiri..betul jg ni komika..palagi soal kyk baru denger aja berita bgnian muncul dr sono😁✌
Pkok ny soal happy biar mreka yg wakili..nah soal yg pedih,sulit,ngantri jg soal"" terkait kesusahan nah baru dah rakyat yg kdu mewakili mreka☕",negatif
"“Wes tak omongi IDI ora teko, enek surate, dan ini baru kejadian ormas dipanggil DPR ora teko” 😁😁 https://t.co/z05KdfS2p7",negatif
"Dede Yusuf (Wakil Ketua Komisi X DPR RI) sudah lapor pajak, bagaimana dengan Anda?

Bagi #KawanPajak yang belum melakukan pelaporan SPT Tahunan Orang Pribadi dapat melaporkan SPT Tahunan melalui website DJP.

Bayar dan Lapor Pajak
Tat Pajak Negara Kuat https://t.co/bWhlCrNCzq",negatif
@EastJavaAlter sini sama aku dek😘,negatif
"Anggota Komisi VIII DPR RI, Abdul Wachid mengaku prihatin jika benar frasa Madrasah dalam RUU Sisdiknas tidak dicantumkan.

Menurutnya, hal tersebut bertolak belakang dengan prinsip Pancasila.

https://t.co/Kt4v53YrEr https://t.co/88R8jZWsaZ",Positif
@mine_loederY DPR IAN BEST MUSIC,Positif
"@arya_dipa45 @P3nj3l4j4h_id @KaredokLeunca__ @Leonita_Lestari @ida2friani @GME_Gun @lettachantik @Al_Lebaran76 @sekar_malam @damput76 @Rosady1M Waduh seram ini p @jokowi

Mohon kewenangan @PBIDI @MUIPusat dialihkan ke Pemerintah

Bisa terjadi negara dalam negara

Jangan biarkan LSM terpapar radikalisme dan terkooptasi oposisi mengatur hajat hidup orang banyak

@puanmaharani_ri 
@DPR_RI 
@PolhukamRI 
@mohmahfudmd 
@BNPTRI",negatif
"Audiensi dengan Pengda JMSI Sumbar, Ini yang Disampaikan Anggota Komisi IX DPR RI Darul Siska https://t.co/1AIwcDvpv7",Positif
"DPR RI Setuju Pemerintah Naikkan Harga BBM, Sesuaikan Harga Dunia https://t.co/yipGvqHnLb",Positif
@txtdarisukabumi Dan DPR pengen beli gorden lagi.,negatif
@AdamPrakoso17 @tanyakanrl Setiap rumah dinas dpr pasti punya mesin cuci dong gak mungkin banget dia cuci pke tangan aja wkwk,Positif
"dan ingat, manusia itu punya titik buta. suatu titik dimana hanya orang lain yang bisa menilai",negatif
"@OposisiCerdas Percuma pak, wong DPR skrg bukan wakil rakyat tapi wakil penguasa",negatif
@SalmaSJP Dpr ian,Positif
"Suara DPR itu suara rakyat atau suara oligarki-pemilik modal?

#IslamKaffah
#IslamSolusiNegeri

Jangan lupa Subscribe youtube kami
https://t.co/LJKVXXHMI2

@dakwahpolitik_islam
https://t.co/Komq7c5idW https://t.co/pXZCwmSfSF",negatif
"Suara DPR itu suara rakyat atau suara oligarki-pemilik modal?

#IslamKaffah
#IslamSolusiNegeri

Jangan lupa Subscribe youtube kami
https://t.co/LJKVXXHMI2

@dakwahpolitik_islam
https://t.co/Komq7c5idW https://t.co/O44xQMCnNR",negatif
"Usulan makan 2 pisang sehari adalah usulan bagus yg perlu didukung...
Ayo kita dukung agar semua pejabat Istana dan keluarganya, anggota DPR dan keluarganya, dan seluruh pejabat negara beserta keluarganya tiap hari makan 2 pisang saja!",negatif
"@hnurwahid Ada bukannya ada di DPR juga ya Yat. Sudah final kan pilpres mendatang 14 Februari 2024, kok sebagai wakil rakyat anda mengeluarkan statement yg provokatif!!! Sedangkan keputusan itu sudah final seolah2 anda tidak tau atau sedang menggoreng isu???",negatif
"@yunartowijaya kalo lewat media mah,sekarang dah susah... gimana kita samperin aja langsung ke DPR/MPR",negatif
"@OposisiCerdas Mengapa Pak Luhut begitu ngotot untuk memperpanjang masa jabatan presiden, padahal itu inkonstitusional dan sudah ditolak oleh mayoritas partai yg ada di DPR dan juga DPD ?",negatif
"Situasi di Mariupol

Pertahanan terpusat pasukan Ukraina di kota telah gagal, unit-unit Angkatan Bersenjata Ukraina dan Batalyon Azov menderita kerugian besar. 

Pasukan Sekutu (Rusia, Chechnya,DPR) menyerang kantong-kantong perlawanan yang tersisa dari beberapa arah. https://t.co/ljw8uqmlOE",Positif
@invisiblefairy0 Ini kok ga dibahas samsek sm negara kita ya? Apa cm aku yg ga denger? Atau kita lebih peduli harga bbm dan sembako yg naik? Atau beritanya ketutupan sm dpr yg mau ganti gorden 48M? Indonesia bilang gini tuh kpn dan dmn? 😶,negatif
@cybsquad_ @liputan6dotcom @DPR_RI Nggak ada guna duduk sbg perwakilan rakyat dg suara rakyat.,negatif
@waray_r @dianto_rusdian @tianhth_ @jokowi @AXA_Mandiri @DPR_RI Lagian lu ngapain si mau daftar beginian? Salah elu jg. Orang kaga ada yg maksain lu buat ikutan!,negatif
"@lanjanayu @Adi_8002 @jokowi @aniesbaswedan Jika kepala negara bohong / membohongi rakyat (DPR) menurut saya bisa disomasi.  Silahkan saja, jangan dimedsos saja, yg salah/kalah akan busuk.",negatif
"Nangis baca ini , halo bapak/ibu dpr bisa ga gausaj ngurusin gorden antum yg ber M M itu? Nih liat, rakyat u terlantar, tu 45M bisa buat mereka makan seumur hidup mungkin🥲🥲🥲😭😭😭😭😭",negatif
"@BossTemlen @zenold_AntiJoko Jika itu terjadi turun ke jalan..duduki dpr..
#WajibLengserkanJokowi 
#WajibLengserkanJokowi",negatif
"Perlu survai kepuasan rakyat melalui evaluasi dan analisa menjadi agenda rutin @DPR_RI dan pembahasan @DPDRI mencakup tingkat inflasi, jumlah kemiskinan, daya beli, indeks kebahagiaan, tarif layanan publik dan 'trend' harga kebutuhan versus program kerja serta diumumkan ke publik",Positif
"@Ronin19451 @RokipAbdulAziz @imwidodo @Migrivata @UdhaKayuno @CNNIndonesia Lu tu kafir kadron. Blo'on... Mana ada yg mau langgar konstitusi. Jelas2 dari awal dan sampai hari ini Peresiden Jokowi taat hukum. Yg usul itu rakyat. Dan Partai politik.
Kecuali kalo presiden nya yg wacana. Dan tetapkan di UU atau DPR merubah UUD45. GOBLOK Kadrun @Ronin19451 😝",negatif
Jangan Pilih Ketua DPR Tersangkut Korupsi. Berikut ini Setya Novanto Korupsi Baca selengkapnya. https://t.co/sZ20eGq6k5,negatif
"@MataNajwa DPR yg katanya wakil rakyat tp gk ada fungsinya buat rakyat JD gk usah ragu untuk di bubarkan saja,di saat rakyat susah mereka malah buang2 duit rakyat.",negatif
